Country,ETid,Source_URL,PDF_URL
AUSTRIA,ETid-2979,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=fa7db7ba-344f-428a-9c15-f481c4cf9f4c&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=ZweiWochen&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20250806_2025_0_276_820_00,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20250806_2025_0_276_820_00/DSBT_20250806_2025_0_276_820_00.pdf
AUSTRIA,ETid-2976,https://dsb.gv.at/sites/site0344/media/downloads/dsb-newsletter_nr._03_25_dezember_2025.pdf,Link is not an Austrian RIS domain
AUSTRIA,ETid-2975,https://dsb.gv.at/sites/site0344/media/downloads/dsb-newsletter_nr._03_25_dezember_2025.pdf,Link is not an Austrian RIS domain
AUSTRIA,ETid-2950,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=4f4c13fb-72d0-4143-915d-9ef90353be15&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=EinerWoche&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20251118_2025_0_902_556_00,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20251118_2025_0_902_556_00/DSBT_20251118_2025_0_902_556_00.pdf
AUSTRIA,ETid-2938,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=000ac915-afb3-448b-9d57-4ef8821c4f62&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=EinerWoche&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20250904_2025_0_699_550_00,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20250904_2025_0_699_550_00/DSBT_20250904_2025_0_699_550_00.pdf
AUSTRIA,ETid-2909,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=5e10f638-03f0-49b1-811e-7f17d3edc03e&Abfrage=Gesamtabfrage&SearchInAsylGH=&SearchInAvn=&SearchInAvsv=&SearchInBegut=&SearchInBgblAlt=&SearchInBgblAuth=&SearchInBgblPdf=&SearchInBks=&SearchInBundesnormen=&SearchInBvb=&SearchInBvwg=&SearchInDok=&SearchInDsk=&SearchInErlaesse=&SearchInGbk=&SearchInGemeinderecht=&SearchInGemeinderechtAuth=&SearchInJustiz=&SearchInKmGer=&SearchInLandesnormen=&SearchInLvwg=&SearchInLgbl=&SearchInLgblNO=&SearchInLgblAuth=&SearchInMrp=&SearchInNormenliste=&SearchInPruefGewO=&SearchInPvak=&SearchInRegV=&SearchInSpg=&SearchInUbas=&SearchInUmse=&SearchInUpts=&SearchInUvs=&SearchInVbl=&SearchInVerg=&SearchInVfgh=&SearchInVwgh=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=&ResultPageSize=100&Suchworte=W258+2299744-1&Dokumentnummer=DSBT_20240816_2023_0_680_196_00,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20240816_2023_0_680_196_00/DSBT_20240816_2023_0_680_196_00.pdf
AUSTRIA,ETid-2773,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,Link is not an Austrian RIS domain
AUSTRIA,ETid-2772,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,Link is not an Austrian RIS domain
AUSTRIA,ETid-2771,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,Link is not an Austrian RIS domain
AUSTRIA,ETid-2770,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,Link is not an Austrian RIS domain
AUSTRIA,ETid-2769,https://360.lexisnexis.at/d/entscheidungen_ris/bvwg_w137_2248575_1/u_verwaltung_BVwG_2024_BVWGT_20240418_W_cfda6df51d?searchid=20250610155345637&page=1&index=1&origin=rl&rlclick=title&originview=Full,Link is not an Austrian RIS domain
AUSTRIA,ETid-2731,https://www.ris.bka.gv.at/Dokument.wxe?Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=2025-0.177.424&VonDatum=01.01.1990&BisDatum=13.06.2025&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=&Position=1&SkipToDocumentPage=true&ResultFunctionToken=276cd361-58e6-4a59-9fae-ddce592b18fe&Dokumentnummer=DSBT_20250603_2025_0_177_424_00,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20250603_2025_0_177_424_00/DSBT_20250603_2025_0_177_424_00.pdf
AUSTRIA,ETid-2327,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=075f68f4-d4e7-455f-b4c1-e20d84f30af1&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=16.05.2024&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=&Dokumentnummer=DSBT_20240104_2023_0_592_319_00,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20240104_2023_0_592_319_00/DSBT_20240104_2023_0_592_319_00.pdf
AUSTRIA,ETid-2256,https://www.dsb.gv.at/newsletter/dsb-newsletter-1-2024.html,Link is not an Austrian RIS domain
AUSTRIA,ETid-2207,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=74272e2c-c533-401d-8c45-d6f38b2fc36c&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=VerwaltungsstraferkenntnisVerwarnungErmahnung&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=23.02.2024&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ImRisSeitForRemotion=Undefined&ResultPageSize=100&Suchworte=&Dokumentnummer=DSBT_20231212_2023_0_603_142_00,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20231212_2023_0_603_142_00/DSBT_20231212_2023_0_603_142_00.pdf
AUSTRIA,ETid-2130,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20230629_2023_0_420_407_00/DSBT_20230629_2023_0_420_407_00.html,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20230629_2023_0_420_407_00/DSBT_20230629_2023_0_420_407_00.html
AUSTRIA,ETid-2076,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20230616_2023_0_404_421_00/DSBT_20230616_2023_0_404_421_00.html,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20230616_2023_0_404_421_00/DSBT_20230616_2023_0_404_421_00.html
