Country,ETid,Source_URL,PDF_URL
BELGIUM,ETid-2948,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-199-2025.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-199-2025.pdf
BELGIUM,ETid-2859,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-142-2025-du-4-septembre-2025.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-142-2025-du-4-septembre-2025.pdf
BELGIUM,ETid-2614,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-80-2025.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-80-2025.pdf
BELGIUM,ETid-2613,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-72-2025.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-72-2025.pdf
BELGIUM,ETid-2521,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-166-2024.pdf,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-166-2024.pdf
BELGIUM,ETid-2225,https://www.autoriteprotectiondonnees.be/citoyen/lapd-sanctionne-lentreprise-de-gestion-de-donnees-black-tiger-belgium-pour-manque-de-transparence,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-07-2024.pdf
BELGIUM,ETid-1905,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-77-2023.pdf,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-77-2023.pdf
BELGIUM,ETid-1655,https://edpb.europa.eu/news/national-news/2022/fine-breaching-obligation-ensure-security-personal-data_en,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-129-2022.pdf
BELGIUM,ETid-1438,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-127-2022.pdf,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-127-2022.pdf
BELGIUM,ETid-1233,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-103-2022.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-103-2022.pdf
BELGIUM,ETid-1191,https://www.autoriteprotectiondonnees.be/citoyen/enquete-cookies-sur-les-sites-de-presse-roularta-mis-a-lamende,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-85-2022.pdf
BELGIUM,ETid-1151,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-71-2022.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-71-2022.pdf
BELGIUM,ETid-1121,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-46-2022.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-46-2022.pdf
BELGIUM,ETid-1118,https://www.autoriteprotectiondonnees.be/citoyen/controles-de-temperature-lapd-met-les-aeroports-de-zaventem-et-charleroi-a-lamende,https://www.autoriteprotectiondonnees.be/publications/arret-du-7-decembre-2022-de-la-cour-des-marches-ar-560564-disponible-en-neerlandais.pdf
BELGIUM,ETid-1117,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-47-2022.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-47-2022.pdf
BELGIUM,ETid-1116,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-48-2022.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-48-2022.pdf
BELGIUM,ETid-1051,https://www.dataprotectionauthority.be/iab-europe-held-responsible-for-a-mechanism-that-infringes-the-gdpr,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-11-2022-anglais.pdf
BELGIUM,ETid-1023,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-13-2022.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-13-2022.pdf
BELGIUM,ETid-1022,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-13-2022.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-13-2022.pdf
BELGIUM,ETid-994,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-141-2021.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-141-2021.pdf
BELGIUM,ETid-947,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-137-2021.pdf,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-137-2021.pdf
