Country,ETid,Source_URL,PDF_URL
CROATIA,ETid-2937,https://azop.hr/administrative-fine-of-eur-4-5-million-imposed-on-a-telecommunications-operator-14-november-2025/,https://azop.hr/administrative-fine-of-eur-4-5-million-imposed-on-a-telecommunications-operator-14-november-2025/
CROATIA,ETid-2609,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/
CROATIA,ETid-2608,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/
CROATIA,ETid-2607,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/
CROATIA,ETid-2606,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/
CROATIA,ETid-2605,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/
CROATIA,ETid-2604,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/
CROATIA,ETid-2603,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/
CROATIA,ETid-2496,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/
CROATIA,ETid-2495,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/
CROATIA,ETid-2494,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/
CROATIA,ETid-2305,https://azop.hr/devet-novih-upravnih-novcanih-kazni-u-ukupnom-iznosu-od-51-000-eura/,https://azop.hr/devet-novih-upravnih-novcanih-kazni-u-ukupnom-iznosu-od-51-000-eura/
CROATIA,ETid-2304,https://azop.hr/devet-novih-upravnih-novcanih-kazni-u-ukupnom-iznosu-od-51-000-eura/,https://azop.hr/devet-novih-upravnih-novcanih-kazni-u-ukupnom-iznosu-od-51-000-eura/
CROATIA,ETid-2303,https://azop.hr/devet-novih-upravnih-novcanih-kazni-u-ukupnom-iznosu-od-51-000-eura/,https://azop.hr/devet-novih-upravnih-novcanih-kazni-u-ukupnom-iznosu-od-51-000-eura/
CROATIA,ETid-2063,https://azop.hr/debt-collection-agency-eos-matrix-d-o-o-imposed-with-administrative-fine-in-the-amount-of-5-47-million-euros/,https://azop.hr/debt-collection-agency-eos-matrix-d-o-o-imposed-with-administrative-fine-in-the-amount-of-5-47-million-euros/
CROATIA,ETid-2062,https://azop.hr/upravne-novcane-kazne-zbog-neovlastene-obrade-osobnih-podataka-putem-kolacica/,https://azop.hr/wp-content/uploads/2022/01/Vodic-za-kolacice.pdf
CROATIA,ETid-2061,https://azop.hr/upravne-novcane-kazne-zbog-neovlastene-obrade-osobnih-podataka-putem-kolacica/,https://azop.hr/wp-content/uploads/2022/01/Vodic-za-kolacice.pdf
CROATIA,ETid-2060,https://azop.hr/upravna-novcana-kazna-u-iznosu-od-15-000-eura-izrecena-hotelu/,https://azop.hr/upravna-novcana-kazna-u-iznosu-od-15-000-eura-izrecena-hotelu/
CROATIA,ETid-2059,https://azop.hr/izrecena-upravna-novcana-kazna-zagrebackom-holdingu/,https://azop.hr/izrecena-upravna-novcana-kazna-zagrebackom-holdingu/
CROATIA,ETid-1859,https://azop.hr/an-administrative-fine-of-380000-eur-imposed-to-the-sports-betting-company/,https://azop.hr/an-administrative-fine-of-380000-eur-imposed-to-the-sports-betting-company/
CROATIA,ETid-1816,https://azop.hr/an-administrative-fine-in-the-amount-of-2-26-million-eur-imposed-to-the-debt-collection-agency/,https://azop.hr/an-administrative-fine-in-the-amount-of-2-26-million-eur-imposed-to-the-debt-collection-agency/
CROATIA,ETid-1679,https://azop.hr/izrecena-upravna-novcana-kazna-zbog-nezakonite-obrade-osobnih-podataka/,https://azop.hr/izrecena-upravna-novcana-kazna-zbog-nezakonite-obrade-osobnih-podataka/
CROATIA,ETid-1595,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1594,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1593,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1592,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1591,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1590,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1589,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1588,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1587,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1586,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/,https://azop.hr/izreceno-novih-10-upravnih-novcanih-kazni/
CROATIA,ETid-1293,https://azop.hr/izrecene-dvije-upravne-novcane-kazne-u-ukupnom-iznosu-218-milijuna-kuna/,https://azop.hr/izrecene-dvije-upravne-novcane-kazne-u-ukupnom-iznosu-218-milijuna-kuna/
CROATIA,ETid-1292,https://azop.hr/izrecene-dvije-upravne-novcane-kazne-u-ukupnom-iznosu-218-milijuna-kuna/,https://azop.hr/izrecene-dvije-upravne-novcane-kazne-u-ukupnom-iznosu-218-milijuna-kuna/
CROATIA,ETid-1093,https://azop.hr/izrecene-upravne-novcane-kazne-u-ukupnom-iznosu-od-1-6-milijuna-kuna/,https://azop.hr/izrecene-upravne-novcane-kazne-u-ukupnom-iznosu-od-1-6-milijuna-kuna/
CROATIA,ETid-1092,https://azop.hr/izrecene-upravne-novcane-kazne-u-ukupnom-iznosu-od-1-6-milijuna-kuna/,https://azop.hr/izrecene-upravne-novcane-kazne-u-ukupnom-iznosu-od-1-6-milijuna-kuna/
CROATIA,ETid-756,https://azop.hr/izdane-nove-upravne-novcane-kazne/,https://azop.hr/izdane-nove-upravne-novcane-kazne/
CROATIA,ETid-745,https://azop.hr/izdane-nove-upravne-novcane-kazne/,https://azop.hr/izdane-nove-upravne-novcane-kazne/
CROATIA,ETid-566,https://azop.hr/izdana-nova-upravna-novcana-kazna/,https://azop.hr/izdana-nova-upravna-novcana-kazna/
CROATIA,ETid-239,https://azop.hr/aktualno/detaljnije/rjesenje-kojim-se-izrice-upravno-novcana,Error fetching page: 404 Client Error: Not Found for url: https://azop.hr/aktualno/detaljnije/rjesenje-kojim-se-izrice-upravno-novcana
