Country,ETid,Source_URL,PDF_URL
DENMARK,ETid-2891,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2025/sep/vestre-landsret-har-afsagt-dom-i-straffesagen-mod-ilva-as,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2025/sep/vestre-landsret-har-afsagt-dom-i-straffesagen-mod-ilva-as
DENMARK,ETid-2601,https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/nov/datatilsynet-anmelder-lyngby-taarbaek-kommune-til-politiet,https://www.datatilsynet.dk/Media/638374509275042076/Styr på rettighedsstyring.pdf | https://www.sikkerdigital.dk/Media/638659641932604308/De%20tekniske%20minimumskrav%202024%20-%20oktober.pdf | https://www.kl.dk/media/5rpj3xi2/anbefalinger-om-tekniske-minimumskrav-i-kommuner-2023.pdf | https://www.cfcs.dk/globalassets/cfcs/dokumenter/vejledninger/-cyberforsvar-der-virker-2023-.pdf | https://www.cfcs.dk/globalassets/cfcs/dokumenter/vejledninger/-passwordsikkerhed-oktober-2023-.pdf | https://www.datatilsynet.dk/Media/638145553634879070/Bødevejledning fysiske personer.pdf | https://www.datatilsynet.dk/Media/1/9/Bødevejledning.pdf
DENMARK,ETid-2600,https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/nov/databehandler-indstillet-til-boede,https://www.datatilsynet.dk/Media/638145553634879070/Bødevejledning fysiske personer.pdf | https://www.datatilsynet.dk/Media/1/9/Bødevejledning.pdf
DENMARK,ETid-2432,https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/aug/endnu-en-kommune-indstillet-til-boede-for-manglende-kryptering,https://www.kl.dk/media/5rpj3xi2/anbefalinger-om-tekniske-minimumskrav-i-kommuner-2023.pdf | https://www.cfcs.dk/globalassets/cfcs/dokumenter/vejledninger/-cyberforsvar-der-virker-2023-.pdf | https://www.cfcs.dk/globalassets/cfcs/dokumenter/vejledninger/cybersikkerhed-pa-rejsen-organisationen.pdf | https://www.cfcs.dk/globalassets/cfcs/dokumenter/vejledninger/CFCS-mobilsikkerhed.pdf | https://digst.dk/media/16815/national_strategi_for_cyber-_og_informationssikkerhed_pdfa.pdf | https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-111.pdf | https://www.datatilsynet.dk/Media/638145553634879070/Bødevejledning fysiske personer.pdf | https://www.datatilsynet.dk/Media/1/9/Bødevejledning.pdf
DENMARK,ETid-1420,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2021/aug/udlaendingestyrelsen-indstilles-til-boede,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2021/aug/udlaendingestyrelsen-indstilles-til-boede
DENMARK,ETid-1412,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/sep/hoersholm-kommune-idoemt-boede-paa-50000-kr,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/sep/hoersholm-kommune-idoemt-boede-paa-50000-kr
DENMARK,ETid-1330,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/aug/lolland-kommune-indstilles-til-boede,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/aug/lolland-kommune-indstilles-til-boede
DENMARK,ETid-1270,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/jul/sirius-advokater-indstilles-til-boede,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/jul/sirius-advokater-indstilles-til-boede
DENMARK,ETid-1241,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/jun/gyldendal-indstilles-til-boede,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/jun/gyldendal-indstilles-til-boede
DENMARK,ETid-1161,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/maj/civilstyrelsen-indstilles-til-boede,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2022/maj/civilstyrelsen-indstilles-til-boede
