Country,ETid,Source_URL,PDF_URL
FINLAND,ETid-2916,https://www.finlex.fi/fi/viranomaiset/tietosuojavaltuutettu/2025/2485,https://www.finlex.fi/fi/viranomaiset/tietosuojavaltuutettu/2025/2485
FINLAND,ETid-2873,https://www.finlex.fi/fi/viranomaiset/tietosuojavaltuutettu/2025/2479,https://www.finlex.fi/fi/viranomaiset/tietosuojavaltuutettu/2025/2479
FINLAND,ETid-2647,https://finlex.fi/fi/viranomaiset/tietosuojavaltuutettu/2025/2473,https://finlex.fi/fi/viranomaiset/tietosuojavaltuutettu/2025/2473
FINLAND,ETid-2544,https://tietosuoja.fi/-/postille-seuraamusmaksu-omaposti-palvelun-tietosuojapuutteista,https://tietosuoja.fi/-/postille-seuraamusmaksu-omaposti-palvelun-tietosuojapuutteista
FINLAND,ETid-2506,https://tietosuoja.fi/-/lainanvertailupalveluja-tarjoavalle-sambla-groupille-seuraamusmaksu-tietoturvallisuuden-laiminlyonnista-yrityksen-on-ilmoitettava-asiakkailleen,https://tietosuoja.fi/-/lainanvertailupalveluja-tarjoavalle-sambla-groupille-seuraamusmaksu-tietoturvallisuuden-laiminlyonnista-yrityksen-on-ilmoitettava-asiakkailleen
FINLAND,ETid-2243,https://tietosuoja.fi/-/verkkokauppa.comille-seuraamusmaksu-asiakastietojen-sailytysajan-maarittelematta-jattamisesta-myos-vaatimus-asiakkaan-rekisteroitymisesta-oli-lainvastainen,https://tietosuoja.fi/-/verkkokauppa.comille-seuraamusmaksu-asiakastietojen-sailytysajan-maarittelematta-jattamisesta-myos-vaatimus-asiakkaan-rekisteroitymisesta-oli-lainvastainen
FINLAND,ETid-2052,https://tietosuoja.fi/-/psykoterapiatoimijalle-hallinnollinen-seuraamusmaksu-asiakkaan-tarkastusoikeuden-puutteellisesta-toteutuksesta,https://tietosuoja.fi/-/psykoterapiatoimijalle-hallinnollinen-seuraamusmaksu-asiakkaan-tarkastusoikeuden-puutteellisesta-toteutuksesta
FINLAND,ETid-2031,https://tietosuoja.fi/-/yrityshakemiston-yllapitajalle-seuraamusmaksu-puhelutallenteiden-antamista-koskevista-rikkomuksista,https://tietosuoja.fi/documents/6927448/146469002/TSV+Päätös+8422.161.21+.pdf/6df4bbc0-5e0b-3c46-322b-c5336ac7681f/TSV+Päätös+8422.161.21+.pdf?t=1694416735101
FINLAND,ETid-1678,https://tietosuoja.fi/-/suomen-asiakastiedolle-seuraamusmaksu-tietosuojavaltuutetun-maarayksen-noudattamatta-jattamisesta,https://tietosuoja.fi/-/suomen-asiakastiedolle-seuraamusmaksu-tietosuojavaltuutetun-maarayksen-noudattamatta-jattamisesta
FINLAND,ETid-1583,https://tietosuoja.fi/-/terveystietoja-ilman-asianmukaista-suostumusta-kasitelleelle-yritykselle-seuraamusmaksu,https://tietosuoja.fi/documents/6927448/146469002/Tietosuojavaltuutetun+ja+seuraamuskollegion+päätös_1198.161.2022.pdf/28156a55-c4f4-c47c-bd2b-a51e138ae4d7/Tietosuojavaltuutetun+ja+seuraamuskollegion+päätös_1198.161.2022.pdf?t=1673361700932 | https://edpb.europa.eu/system/files/2022-02/2020_06_22_one-stop-shop_leaflet_fi.pdf
FINLAND,ETid-1565,https://tietosuoja.fi/documents/6927448/146469002/Apulaistietosuojavaltuutetun+ja+seuraamuskollegion+p%C3%A4%C3%A4t%C3%B6kset+6633.182.2018_6707.154.2018_7685.152.2020.pdf/8760a298-e1c6-18aa-a3cd-c1d40d14e1b7/Apulaistietosuojavaltuutetun+ja+seuraamuskollegion+p%C3%A4%C3%A4t%C3%B6kset+6633.182.2018_6707.154.2018_7685.152.2020.pdf?t=1673420299312,https://tietosuoja.fi/documents/6927448/146469002/Apulaistietosuojavaltuutetun+ja+seuraamuskollegion+p%C3%A4%C3%A4t%C3%B6kset+6633.182.2018_6707.154.2018_7685.152.2020.pdf/8760a298-e1c6-18aa-a3cd-c1d40d14e1b7/Apulaistietosuojavaltuutetun+ja+seuraamuskollegion+p%C3%A4%C3%A4t%C3%B6kset+6633.182.2018_6707.154.2018_7685.152.2020.pdf?t=1673420299312
