Country,ETid,Source_URL,PDF_URL
IRELAND,ETid-2780,https://www.dataprotection.ie/sites/default/files/uploads/2025-02/MU%20Final%20Decision%20IN-19-9-3_Redacted.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2025-02/MU%20Final%20Decision%20IN-19-9-3_Redacted.pdf
IRELAND,ETid-2779,https://www.dataprotection.ie/sites/default/files/uploads/2024-12/05.12.2024%20_%2007-SIU-2018_Final%20Decision_Sligo%20CoCo_Redacted.2.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2024-12/05.12.2024%20_%2007-SIU-2018_Final%20Decision_Sligo%20CoCo_Redacted.2.pdf
IRELAND,ETid-2684,https://www.dataprotection.ie/en/news-media/press-releases/inquiry-city-dublin-education-and-training-board-cdetb,https://www.dataprotection.ie/en/news-media/press-releases/inquiry-city-dublin-education-and-training-board-cdetb
IRELAND,ETid-2657,https://www.dataprotection.ie/en/news-media/press-releases/dpc-announces-conclusion-investigation-use-facial-matching-technology-connection-public-services,https://www.dataprotection.ie/en/news-media/press-releases/dpc-announces-conclusion-investigation-use-facial-matching-technology-connection-public-services
IRELAND,ETid-2584,https://www.dataprotection.ie/en/news-media/latest-news/irish-data-protection-commission-fines-tiktok-eu530-million-and-orders-corrective-measures-following,https://www.dataprotection.ie/en/news-media/latest-news/irish-data-protection-commission-fines-tiktok-eu530-million-and-orders-corrective-measures-following
IRELAND,ETid-2484,https://www.dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-meta-eu251-million,https://www.dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-meta-eu251-million
IRELAND,ETid-2469,https://dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-linkedin-ireland-eu310-million,https://dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-linkedin-ireland-eu310-million
IRELAND,ETid-2461,https://www.dataprotection.ie/en/news-media/press-releases/DPC-announces-91-million-fine-of-Meta,https://www.dataprotection.ie/en/news-media/press-releases/DPC-announces-91-million-fine-of-Meta
IRELAND,ETid-2032,https://edpb.europa.eu/system/files/2023-09/final_decision_tiktok_in-21-9-1_-_redacted_8_september_2023.pdf,https://edpb.europa.eu/system/files/2023-09/final_decision_tiktok_in-21-9-1_-_redacted_8_september_2023.pdf
IRELAND,ETid-1965,https://www.dataprotection.ie/en/resources/law/decisions/Inquiry-concerning-the-Department-of-Health,https://www.dataprotection.ie/sites/default/files/uploads/2023-07/20230710_Full%20decision%20IN-21-3-2%20Dept%20of%20Health.pdf
IRELAND,ETid-1844,https://dataprotection.ie/en/news-media/press-releases/Data-Protection-Commission-announces-conclusion-of-inquiry-into-Meta-Ireland,https://dataprotection.ie/en/news-media/press-releases/Data-Protection-Commission-announces-conclusion-of-inquiry-into-Meta-Ireland
IRELAND,ETid-1696,https://www.dataprotection.ie/en/resources/law/decisions/bank-of-ireland-365-%28BOI%29-February-2023,https://www.dataprotection.ie/sites/default/files/uploads/2023-03/Final%20Decision%20IN-20-7-2%20Bank%20of%20Ireland%20%28BOI%29%20365.pdf
IRELAND,ETid-1677,https://www.dataprotection.ie/sites/default/files/uploads/2023-03/IN-21-6-2%20Fastway%20Couriers%20Final%20Decision_Redacted%28S01%29.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2023-03/IN-21-6-2%20Fastway%20Couriers%20Final%20Decision_Redacted%28S01%29.pdf
IRELAND,ETid-1666,https://www.dataprotection.ie/sites/default/files/uploads/2023-02/IN-21-2-4%20Final%20Decision_Redacted.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2023-02/IN-21-2-4%20Final%20Decision_Redacted.pdf
IRELAND,ETid-1578,https://dataprotection.ie/en/news-media/data-protection-commission-announces-conclusion-inquiry-whatsapp,https://www.dataprotection.ie/sites/default/files/uploads/2023-04/WhatsApp%20FINAL%20DECISION%20%28adoption%20version%29%20Redacted.pdf
IRELAND,ETid-1564,https://www.dataprotection.ie/sites/default/files/uploads/2023-01/Final%20Decision%20VIEC%20IN-21-2-5%20121222_Redacted.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2023-01/Final%20Decision%20VIEC%20IN-21-2-5%20121222_Redacted.pdf
IRELAND,ETid-1543,https://dataprotection.ie/en/news-media/data-protection-commission-announces-conclusion-two-inquiries-meta-ireland,https://www.dataprotection.ie/sites/default/files/uploads/2023-04/Meta%20FINAL%20DECISION%20%28ADOPTED%29%2031-12-22%20-%20IN-18-5-5%20%28Redacted%29.pdf | https://www.dataprotection.ie/sites/default/files/uploads/2023-04/Meta%20FINAL%20Decision%20%28ADOPTED%29%20-%20IN-18-5-7%20-%2031-12-22%20%28Redacted%29.pdf
IRELAND,ETid-1519,https://www.dataprotection.ie/sites/default/files/uploads/2022-03/Final%20Decision%20in%20Inquiry%20IN-19-7-5_Slane%20Credit%20Union.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2022-03/Final%20Decision%20in%20Inquiry%20IN-19-7-5_Slane%20Credit%20Union.pdf
IRELAND,ETid-1502,https://dataprotection.ie/en/news-media/press-releases/data-protection-commission-announces-decision-in-facebook-data-scraping-inquiry,https://dataprotection.ie/en/news-media/press-releases/data-protection-commission-announces-decision-in-facebook-data-scraping-inquiry
IRELAND,ETid-1373,https://edpb.europa.eu/system/files/2022-09/edpb_bindingdecision_20222_ie_sa_instagramchildusers_en.pdf,https://edpb.europa.eu/system/files/2022-09/edpb_bindingdecision_20222_ie_sa_instagramchildusers_en.pdf
IRELAND,ETid-1115,"https://www.independent.ie/business/technology/bank-of-ireland-fined-over-errors-reporting-details-of-47000-customers-loans-41522333.html#:~:text=Bank%20of%20Ireland%20has%20been,have%20affected%20their%20credit%20ratings",https://www.independent.ie/editorial/pdfs/contributorstsandcs.pdf
IRELAND,ETid-1094,https://dataprotection.ie/en/news-media/press-releases/data-protection-commission-announces-decision-meta-facebook-inquiry,https://dataprotection.ie/en/news-media/press-releases/data-protection-commission-announces-decision-meta-facebook-inquiry
IRELAND,ETid-1009,"https://www.dataprotection.ie/sites/default/files/uploads/2022-01/Limerick%20Council%20Decision%20Summary%20EN.pdf,","Error fetching page: 404 Client Error: Not Found for url: https://www.dataprotection.ie/sites/default/files/uploads/2022-01/Limerick%20Council%20Decision%20Summary%20EN.pdf,"
IRELAND,ETid-987,https://www.dataprotection.ie/sites/default/files/uploads/2022-01/Redacted%20Final%20Decision%20The%20Teaching%20Council_20-04-01.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2022-01/Redacted%20Final%20Decision%20The%20Teaching%20Council_20-04-01.pdf
IRELAND,ETid-893,"https://www.dataprotection.ie/sites/default/files/uploads/2021-11/IN-20-7-1%20Move%20Irl%20Final%20Decision.pdf,","Error fetching page: 404 Client Error: Not Found for url: https://www.dataprotection.ie/sites/default/files/uploads/2021-11/IN-20-7-1%20Move%20Irl%20Final%20Decision.pdf,"
IRELAND,ETid-875,https://noyb.eu/sites/default/files/2021-10/IN%2018-5-5%20Draft%20Decision%20of%20the%20IE%20SA.pdf,https://noyb.eu/sites/default/files/2021-10/IN%2018-5-5%20Draft%20Decision%20of%20the%20IE%20SA.pdf
IRELAND,ETid-825,https://dataprotection.ie/en/news-media/data-protection-commission-welcomes-outcome-prosecution-proceedings-taken-against-three-ireland,https://dataprotection.ie/en/news-media/data-protection-commission-welcomes-outcome-prosecution-proceedings-taken-against-three-ireland
IRELAND,ETid-820,https://edpb.europa.eu/system/files/2021-09/dpc_final_decision_redacted_for_issue_to_edpb_01-09-21_en.pdf,https://edpb.europa.eu/system/files/2021-09/dpc_final_decision_redacted_for_issue_to_edpb_01-09-21_en.pdf
IRELAND,ETid-689,https://www.dataprotection.ie/sites/default/files/uploads/2021-05/Redacted_23.03.2021_Decision_IN-19-7-2.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2021-05/Redacted_23.03.2021_Decision_IN-19-7-2.pdf
IRELAND,ETid-570,https://www.dataprotection.ie/sites/default/files/uploads/2021-02/12.08.2020_Decision_Tusla_IN-18-11-04.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2021-02/12.08.2020_Decision_Tusla_IN-18-11-04.pdf
IRELAND,ETid-552,https://www.dataprotection.ie/sites/default/files/uploads/2021-02/Inquiry%20University%20College%20Dublin_0.pdf,https://www.dataprotection.ie/sites/default/files/uploads/2021-02/Inquiry%20University%20College%20Dublin_0.pdf
IRELAND,ETid-485,https://edpb.europa.eu/sites/edpb/files/decisions/final_decision_-_in-19-1-1_9.12.2020.pdf,https://edpb.europa.eu/sites/edpb/files/decisions/final_decision_-_in-19-1-1_9.12.2020.pdf
IRELAND,ETid-449,https://www.irishexaminer.com/news/arid-40075673.html,https://www.irishexaminer.com/news/arid-40075673.html
IRELAND,ETid-320,https://www.irishlegal.com/article/tusla-fined-40-000-in-second-gdpr-breach,https://www.irishlegal.com/article/tusla-fined-40-000-in-second-gdpr-breach
IRELAND,ETid-278,https://www.irishtimes.com/news/crime-and-law/tusla-becomes-first-organisation-fined-for-gdpr-rule-breach-1.4255692?mode=amp,https://www.irishtimes.com/news/crime-and-law/tusla-becomes-first-organisation-fined-for-gdpr-rule-breach-1.4255692?mode=amp
