Country,ETid,Source_URL,PDF_URL
NORWAY,ETid-3000,https://www.datatilsynet.no/contentassets/fd51778709a14285a13d4cca9fc481f6/20206-01-16-vedtak---timegrip-offentlig-versjon.pdf,https://www.datatilsynet.no/contentassets/fd51778709a14285a13d4cca9fc481f6/20206-01-16-vedtak---timegrip-offentlig-versjon.pdf
NORWAY,ETid-2658,https://www.datatilsynet.no/contentassets/d503c1527a66493eb00be998240e0a09/vedtak-om-overtredelsesgebyr---tilsyn-med-sporingsverktoy---alarmtelefonen-116111.no.pdf,https://www.datatilsynet.no/contentassets/d503c1527a66493eb00be998240e0a09/vedtak-om-overtredelsesgebyr---tilsyn-med-sporingsverktoy---alarmtelefonen-116111.no.pdf
NORWAY,ETid-2573,https://www.datatilsynet.no/en/news/aktuelle-nyheter-2025/sanctions-imposed-on-telenor-asa-for-lack-in-the-organisation-of-the-data-protection-officer-and-lack-of-internal-control/,https://www.datatilsynet.no/contentassets/46e5764f637941b6b4d7666984ae0df8/decision---dpo-role-in-telenor-asa_english-translation_redacted_.pdf
NORWAY,ETid-2482,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2024/overtredelsesgebyr-til-grue-kommune/,https://www.datatilsynet.no/contentassets/926d5b82b1534954af13878d37cd821f/~-24_00754-6-vedtak-om-overtredelsesgebyr---melding-om-avvik---grue-kommune-539588_6_1.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-2458,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2024/overtredelsesgebyr-til-universitetet-i-agder/,https://www.datatilsynet.no/contentassets/bb061f3a6e444cdeae12e08263b20db9/~-24_00793-9-vedtak-om-overtredelsesgebyr---universitetet-i-agder-529679_7_1.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-2445,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2024/overtredelsesgebyr-til-eidskog-kommune/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-2136,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2023/varsel-om-gebyr-og-palegg-til-nav/,https://www.datatilsynet.no/contentassets/470d824962e949ccacdf776d425bc27d/varsel-om-vedtak.pdf | https://www.datatilsynet.no/contentassets/470d824962e949ccacdf776d425bc27d/endelig-tilsynsrapport.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-1697,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2023/overtredelsesgebyr-til-argon-medical-devices/,https://www.datatilsynet.no/contentassets/c4d1b273cca24eaea43316c2043d9c92/vedtak-om-overtredelsesgebyr---argon-medical-devices-inc..pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-1656,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2023/overtredelsesgebyr-til-sats/,https://www.datatilsynet.no/contentassets/f974410ee2e142c99cfc208cbae7634e/administrative-fine---sats-asa.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-1380,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2022/recover-as-far-overtredelsesgebyr/,https://www.datatilsynet.no/contentassets/99807c5955454e4ca2212da1f7a76281/21_02293-10-vedtak-om-palegg-og-overtredelsesgebyr---kredittvurdering-uten-rettslig-grunnlag---312121_12_2.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-1321,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2022/gebyr-til-krokatjonnvegen-15-as/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-1259,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2022/overtredelsesgebyr-til-stortinget/,https://www.datatilsynet.no/contentassets/338d64f46fbb436aa61b0fc4d7b794da/stortinget-vedtak.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-1234,https://www.datatilsynet.no/contentassets/ac275106cc11481eaaf0dbd0d011a347/~-13262-20_02875-10-1-hoveddokument-308867_1_2.pdf,https://www.datatilsynet.no/contentassets/ac275106cc11481eaaf0dbd0d011a347/~-13262-20_02875-10-1-hoveddokument-308867_1_2.pdf
NORWAY,ETid-1181,https://www.datatilsynet.no/contentassets/08439c79981a499f86fd9faebac1855d/20-02368-8-sladdet-versjon.pdf,https://www.datatilsynet.no/contentassets/08439c79981a499f86fd9faebac1855d/20-02368-8-sladdet-versjon.pdf
NORWAY,ETid-1149,https://www.datatilsynet.no/contentassets/425ef2f0fb5e4af3ac8e0cd97da648b8/vedtak-om-overtredelsesgebyr---melding-om-avvik---lillestrom-kommune-sentraladministrasjonen.pdf,https://www.datatilsynet.no/contentassets/425ef2f0fb5e4af3ac8e0cd97da648b8/vedtak-om-overtredelsesgebyr---melding-om-avvik---lillestrom-kommune-sentraladministrasjonen.pdf
NORWAY,ETid-1070,https://www.datatilsynet.no/contentassets/81543616aa3049f8be77b0b3ab66d353/vedtak-om-palegg-og-overtredelsesgebyr---etterforsker1.pdf,https://www.datatilsynet.no/contentassets/81543616aa3049f8be77b0b3ab66d353/vedtak-om-palegg-og-overtredelsesgebyr---etterforsker1.pdf
NORWAY,ETid-974,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2022/gebyr-til-elektro--automasjon-systemer-as/,https://www.datatilsynet.no/contentassets/5857c008ccfb4bec816c8a69fa8bd4ad/vedtak-om-overtredelsesgebyr--elektro--automasjon-systemer-as.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-960,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/gebyr-og-palegg-om-a-etablere-rutiner-etter-urettmessig-kredittvurdering/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-950,https://www.datatilsynet.no/contentassets/8ad827efefcb489ab1c7ba129609edb5/administrative-fine---grindr-llc.pdf,https://www.datatilsynet.no/contentassets/8ad827efefcb489ab1c7ba129609edb5/administrative-fine---grindr-llc.pdf
NORWAY,ETid-948,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/vedtak-om-overtredelsesgebyr-til-statens-pensjonskasse/,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/vedtak-om-overtredelsesgebyr-til-statens-pensjonskasse/
NORWAY,ETid-878,https://www.datatilsynet.no/contentassets/4609027cf9504e9aa12c3f05b45bdcf7/varsel-om-vedtak-om-overtredelsesgebyr-og-palegg.pdf,https://www.datatilsynet.no/contentassets/4609027cf9504e9aa12c3f05b45bdcf7/varsel-om-vedtak-om-overtredelsesgebyr-og-palegg.pdf
NORWAY,ETid-863,https://www.datatilsynet.no/contentassets/53bc6882df7e426299e6d551428fc811/vedtak-om-overtredelsesgebyr--ultra-technology-as.pdf,https://www.datatilsynet.no/contentassets/53bc6882df7e426299e6d551428fc811/vedtak-om-overtredelsesgebyr--ultra-technology-as.pdf
NORWAY,ETid-859,https://www.datatilsynet.no/contentassets/447e5ad0c7f346fc9cc1c0d62d023bba/vedtak-om-overtredelsesgebyr--st.-olavs-hospital-hf.pdf,https://www.datatilsynet.no/contentassets/447e5ad0c7f346fc9cc1c0d62d023bba/vedtak-om-overtredelsesgebyr--st.-olavs-hospital-hf.pdf
NORWAY,ETid-858,https://www.datatilsynet.no/contentassets/d01675e54b9447298952002ff1c208fb/vedtak-om-overtredelsesgebyr---hoylandet-kommune.pdf,https://www.datatilsynet.no/contentassets/d01675e54b9447298952002ff1c208fb/vedtak-om-overtredelsesgebyr---hoylandet-kommune.pdf
NORWAY,ETid-851,https://www.datatilsynet.no/contentassets/7121f4f2de614186bc535823c9da7102/20_01727-3vedtak-om-overtredelsesgebyr---ferde-as.pdf,https://www.datatilsynet.no/contentassets/7121f4f2de614186bc535823c9da7102/20_01727-3vedtak-om-overtredelsesgebyr---ferde-as.pdf
NORWAY,ETid-809,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/gebyr-til-waxing-palace-as/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-738,https://www.datatilsynet.no/contentassets/e7e029cdedec4c4e8907aef6bb08590c/20_02165-9-vedtak-om-overtredelsesgebyr--moss-kommune-236334_9_1.pdf,https://www.datatilsynet.no/contentassets/e7e029cdedec4c4e8907aef6bb08590c/20_02165-9-vedtak-om-overtredelsesgebyr--moss-kommune-236334_9_1.pdf
NORWAY,ETid-735,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/gebyr-for-innsyn-i-tidligere-ansatts-e-postkasse-og-manglende-avslutning-av-e-postkassen/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-723,https://www.datatilsynet.no/contentassets/28e9c4b1562743debffbc9ab253f3db2/vedtak-om-overtredelsesgebyr---brabankasa.pdf,https://www.datatilsynet.no/contentassets/28e9c4b1562743debffbc9ab253f3db2/vedtak-om-overtredelsesgebyr---brabankasa.pdf
NORWAY,ETid-700,https://www.datatilsynet.no/contentassets/ecc60fae5be740da81468d4eb23c43a3/vedtak-om-overtredelsesgebyr-til-innovasjon-norge.pdf,https://www.datatilsynet.no/contentassets/ecc60fae5be740da81468d4eb23c43a3/vedtak-om-overtredelsesgebyr-til-innovasjon-norge.pdf
NORWAY,ETid-688,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/overtredelsesgebyr-til-oslo-kommune/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-667,https://www.datatilsynet.no/contentassets/8311c84c085b424d8d5c55dd4c9e2a4a/advance-notification-of-an-administrative-fine--disqus-inc.pdf,https://www.datatilsynet.no/contentassets/8311c84c085b424d8d5c55dd4c9e2a4a/advance-notification-of-an-administrative-fine--disqus-inc.pdf
NORWAY,ETid-643,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/gebyr-til-basaren-drift-as/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-628,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/miljo--og-kvalitetsledelse-as-far-gebyr/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-627,https://www.datatilsynet.no/contentassets/65e913da425949d985baf76849a5929b/vedtak-om-overtredelsesgebyr---asker-kommune.pdf,https://www.datatilsynet.no/contentassets/65e913da425949d985baf76849a5929b/vedtak-om-overtredelsesgebyr---asker-kommune.pdf
NORWAY,ETid-611,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/dragefossen-as-far-gebyr/,https://www.datatilsynet.no/contentassets/bb8618c1ce604468b3b478676bf196c5/vedtak-om-overtredelsesgebyr---dragefossen-as.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-608,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/gebyr-til-alesund-kommune-for-bruk-av-strava/,https://www.datatilsynet.no/contentassets/aceb0267e82e4404bd3e8b2e8987f458/vedtak-om-overtredelsesgebyr-ved-bruk-av-treningsappen-strava--alesund-kommune.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-573,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/far-gebyr-for-ulovleg-vidaresending-av-e-post/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-540,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/cyberbook-as-far-gebyr/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-530,https://www.datatilsynet.no/contentassets/c5f433a97050467497810b9e891d5b83/vedtak-om-palegg-og-overtredelsesgebyr---aquateknikk-as.pdf,https://www.datatilsynet.no/contentassets/c5f433a97050467497810b9e891d5b83/vedtak-om-palegg-og-overtredelsesgebyr---aquateknikk-as.pdf
NORWAY,ETid-525,https://www.datatilsynet.no/contentassets/5cd2e76bd5d2481f9578ffe721b7e24d/vedtak-om-overtredelsesgebyr-til-coop-finnmark-sa.pdf,https://www.datatilsynet.no/contentassets/5cd2e76bd5d2481f9578ffe721b7e24d/vedtak-om-overtredelsesgebyr-til-coop-finnmark-sa.pdf
NORWAY,ETid-524,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/far-gebyr-for-videresending-av-e-post/,https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
NORWAY,ETid-515,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/gveik-as-far-gebyr/,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/gveik-as-far-gebyr/
NORWAY,ETid-514,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/lindstrand-trading-as-far-overtredelsesgebyr/,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/lindstrand-trading-as-far-overtredelsesgebyr/
NORWAY,ETid-507,https://www.datatilsynet.no/contentassets/004f43fe684445c29e4fc8393a9a714d/varsel-om-overtredelsesgebyr---innovasjon-norge.pdf,https://www.datatilsynet.no/contentassets/004f43fe684445c29e4fc8393a9a714d/varsel-om-overtredelsesgebyr---innovasjon-norge.pdf
NORWAY,ETid-474,https://www.datatilsynet.no/contentassets/1679986c04f54694b734ab883eebfde1/endelig-vedtak-til-indre-ostfold-kommune.pdf,https://www.datatilsynet.no/contentassets/1679986c04f54694b734ab883eebfde1/endelig-vedtak-til-indre-ostfold-kommune.pdf
NORWAY,ETid-416,https://www.datatilsynet.no/contentassets/44c6c9df0ee64fdc9f704f8ca930d4ce/vedtak-om-otg-odin-flissenter.pdf,https://www.datatilsynet.no/contentassets/44c6c9df0ee64fdc9f704f8ca930d4ce/vedtak-om-otg-odin-flissenter.pdf
NORWAY,ETid-333,https://www.datatilsynet.no/contentassets/9d5792264c884f3a903d3981c38812ac/~-20_02191-1-vedtak-om-overtredelsesgebyr---ralingen-kommune-202444_10_1.pdf,https://www.datatilsynet.no/contentassets/9d5792264c884f3a903d3981c38812ac/~-20_02191-1-vedtak-om-overtredelsesgebyr---ralingen-kommune-202444_10_1.pdf
NORWAY,ETid-328,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-overtredelsesgebyr-til-odin-flissenter-as/,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-overtredelsesgebyr-til-odin-flissenter-as/
NORWAY,ETid-322,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-gebyr-aquateknikk/,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-gebyr-aquateknikk/
NORWAY,ETid-321,https://www.datatilsynet.no/contentassets/a42cee6c37084047ac14489dcc318c75/varsel-om-palegg-og-overtredelsesgebyr-200653_13_1.pdf,https://www.datatilsynet.no/contentassets/a42cee6c37084047ac14489dcc318c75/varsel-om-palegg-og-overtredelsesgebyr-200653_13_1.pdf
NORWAY,ETid-294,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-irettesettelse-mot-telenor-norge-as/,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-irettesettelse-mot-telenor-norge-as/
NORWAY,ETid-292,https://www.datatilsynet.no/contentassets/fd5c454b4eae4924af94943ba68002bf/20_02181-3-vedtak-om-overtredelsesgebyr---bergen-kommune.pdf,https://www.datatilsynet.no/contentassets/fd5c454b4eae4924af94943ba68002bf/20_02181-3-vedtak-om-overtredelsesgebyr---bergen-kommune.pdf
NORWAY,ETid-237,https://www.datatilsynet.no/contentassets/8dbf5b4b2a33471aacf375b1f0032347/varsel-om-overtredelsesgebyr.pdf,https://www.datatilsynet.no/contentassets/8dbf5b4b2a33471aacf375b1f0032347/varsel-om-overtredelsesgebyr.pdf
NORWAY,ETid-235,https://www.datatilsynet.no/contentassets/bc26a2a8b78b4b30b4b060a4cac80d90/varsel-ralingen.pdf,https://www.datatilsynet.no/contentassets/bc26a2a8b78b4b30b4b060a4cac80d90/varsel-ralingen.pdf
NORWAY,ETid-75,https://www.datatilsynet.no/contentassets/f7246f38ff394d32bef6895bc65a4b4f/varsel-om-gebyr---oslo-kommune.pdf,https://www.datatilsynet.no/contentassets/f7246f38ff394d32bef6895bc65a4b4f/varsel-om-gebyr---oslo-kommune.pdf
NORWAY,ETid-42,https://www.datatilsynet.no/en/about-privacy/reports-on-specific-subjects/administrative-fine-of-170.000--imposed-on-bergen-municipality/,Error fetching page: 404 Client Error: Not Found for url: https://www.datatilsynet.no/en/about-privacy/reports-on-specific-subjects/administrative-fine-of-170.000--imposed-on-bergen-municipality/
