Country,ETid,Source_URL,PDF_URL
POLAND,ETid-3031,https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2025:dkn_5131_4/content?query=,https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2025:dkn_5131_4/content?query=
POLAND,ETid-2982,https://uodo.gov.pl/pl/138/4030,https://uodo.gov.pl/pl/138/4030
POLAND,ETid-2981,https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2024:dkn_5131_3/content?query=,https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2024:dkn_5131_3/content?query=
POLAND,ETid-2940,https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2024:dkn_5131_17/content,https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2024:dkn_5131_17/content
POLAND,ETid-2915,https://uodo.gov.pl/pl/138/3933,https://uodo.gov.pl/pl/138/3933
POLAND,ETid-2897,https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2025:dkn_5131_7/content?query=,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-18-2020.pdf
POLAND,ETid-2840,https://uodo.gov.pl/pl/138/3854,https://uodo.gov.pl/pl/138/3854
POLAND,ETid-2765,https://uodo.gov.pl/pl/138/3838,https://uodo.gov.pl/pl/138/3838
POLAND,ETid-2764,https://uodo.gov.pl/pl/138/3834,https://uodo.gov.pl/pl/138/3834
POLAND,ETid-2763,https://uodo.gov.pl/pl/138/3487,https://uodo.gov.pl/pl/138/3487
POLAND,ETid-2758,https://uodo.gov.pl/pl/138/3827,https://uodo.gov.pl/pl/138/3827
POLAND,ETid-2757,https://uodo.gov.pl/pl/138/3827,https://uodo.gov.pl/pl/138/3827
POLAND,ETid-2730,https://uodo.gov.pl/pl/138/3803,https://uodo.gov.pl/pl/138/3803
POLAND,ETid-2729,https://uodo.gov.pl/pl/138/3793,https://uodo.gov.pl/pl/138/3793
POLAND,ETid-2591,https://uodo.gov.pl/decyzje/DKN.5112.14.2022,https://uodo.gov.pl/decyzje/DKN.5112.14.2022
POLAND,ETid-2590,https://uodo.gov.pl/pl/138/3585,https://uodo.gov.pl/pl/138/3585
POLAND,ETid-2589,https://uodo.gov.pl/pl/138/3639,https://uodo.gov.pl/pl/138/3639
POLAND,ETid-2588,https://uodo.gov.pl/decyzje/DS.523.4750.2023,https://uodo.gov.pl/decyzje/DS.523.4750.2023
POLAND,ETid-2587,https://uodo.gov.pl/decyzje/DKN.5131.1.2025,"https://bip.brpo.gov.pl/sites/default/files/Odpowied%C5%BA%20MC%20-%20dane%20przekazane%20Poczcie%2C%204.05.pdf | https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,NIK-D-20-502-informacja-WYBORY,typ,kk.pdf | https://stat.gov.pl/download/gfx/portalinformacyjny/pl/defaultaktualnosci/5515/2/21/1/rocznik_statystyczny_rzeczypospolitej_polskiej_2021_18-02-2022.pdf | https://orka.sejm.gov.pl/zapisy10.nsf/0/E812046539F59422C1258C3B0054DEAE/%24File/0051210.pdf | https://orka2.sejm.gov.pl/StenoInter10.nsf/0/FAA83C5873CCFDECC1258C3900055838/%24File/29_b_ksiazka.pdf"
POLAND,ETid-2563,https://uodo.gov.pl/pl/138/3590,https://uodo.gov.pl/pl/138/3590
POLAND,ETid-2518,https://uodo.gov.pl/decyzje/DKN.5131.4.2024,https://uodo.gov.pl/decyzje/DKN.5131.4.2024
POLAND,ETid-2493,https://www.uodo.gov.pl/decyzje/DKN.5131.6.2024,https://www.uodo.gov.pl/decyzje/DKN.5131.6.2024
POLAND,ETid-2492,https://www.uodo.gov.pl/decyzje/DKN.5130.2415.2020,https://www.uodo.gov.pl/decyzje/DKN.5130.2415.2020
POLAND,ETid-2491,https://www.uodo.gov.pl/decyzje/DKN.5130.2415.2020,https://www.uodo.gov.pl/decyzje/DKN.5130.2415.2020
POLAND,ETid-2485,https://uodo.gov.pl/decyzje/DKN.5131.7.2024,https://uodo.gov.pl/decyzje/DKN.5131.7.2024
POLAND,ETid-2468,https://www.uodo.gov.pl/decyzje/DKN.5131.57.2022,https://www.uodo.gov.pl/decyzje/DKN.5131.57.2022
POLAND,ETid-2467,https://www.uodo.gov.pl/decyzje/DOKE.561.1.2024.,https://www.uodo.gov.pl/decyzje/DOKE.561.1.2024.
POLAND,ETid-2466,https://www.uodo.gov.pl/decyzje/DOKE.561.4.2024,https://www.uodo.gov.pl/decyzje/DOKE.561.4.2024
POLAND,ETid-2457,https://uodo.gov.pl/pl/138/3343,https://uodo.gov.pl/pl/138/3343
POLAND,ETid-2446,https://www.uodo.gov.pl/decyzje/DKN.5131.33.2023,https://www.uodo.gov.pl/decyzje/DKN.5131.33.2023
POLAND,ETid-2428,https://uodo.gov.pl/decyzje/DKN.5112.35.2021,https://uodo.gov.pl/decyzje/DKN.5112.35.2021
POLAND,ETid-2369,https://uodo.gov.pl/pl/138/3078,https://uodo.gov.pl/pl/138/3078
POLAND,ETid-2333,https://uodo.gov.pl/pl/138/3095,https://uodo.gov.pl/pl/138/3095
