Country,ETid,Source_URL,PDF_URL
SWEDEN,ETid-3027,https://www.imy.se/globalassets/dokument/tillsynsskrivelser/2026/beslut-efter-tillsyn-enligt-gdpr_sportadmin-i-skandinavien-ab.pdf,https://www.imy.se/globalassets/dokument/tillsynsskrivelser/2026/beslut-efter-tillsyn-enligt-gdpr_sportadmin-i-skandinavien-ab.pdf
SWEDEN,ETid-2681,https://www.imy.se/globalassets/dokument/beslut/2025/beslut-efter-tillsyn-waab.pdf,https://www.imy.se/globalassets/dokument/beslut/2025/beslut-efter-tillsyn-waab.pdf
SWEDEN,ETid-2680,https://www.imy.se/globalassets/dokument/beslut/2025/beslut-efter-tillsyn-sl.pdf,https://www.imy.se/globalassets/dokument/beslut/2025/beslut-efter-tillsyn-sl.pdf
SWEDEN,ETid-2599,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-granit-bostad-beritsholm.pdf,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-granit-bostad-beritsholm.pdf
SWEDEN,ETid-2598,https://www.imy.se/globalassets/dokument/beslut/2025/tillsynsbeslut-do.pdf,https://www.imy.se/globalassets/dokument/beslut/2025/tillsynsbeslut-do.pdf
SWEDEN,ETid-2450,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-apohem.pdf,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-apohem.pdf
SWEDEN,ETid-2449,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-apoteket-ab.pdf,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-apoteket-ab.pdf
SWEDEN,ETid-2377,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-avanza.pdf,https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-avanza.pdf
SWEDEN,ETid-2137,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2023/varsel-om-gebyr-og-palegg-til-nav//,https://www.datatilsynet.no/contentassets/470d824962e949ccacdf776d425bc27d/varsel-om-vedtak.pdf | https://www.datatilsynet.no/contentassets/470d824962e949ccacdf776d425bc27d/endelig-tilsynsrapport.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/etiske-retningslinjer-dt-8-mai-2024.pdf | https://www.datatilsynet.no/globalassets/global/dokumenter-pdfer-skjema-ol/om-datatilsynet/planer-strategier/slik-bruker-datatilsynet-kunstig-intelligens-pa-nettsiden.pdf
SWEDEN,ETid-2103,https://www.imy.se/nyheter/sanktionsavgift-mot-bolag-som-skickat-kunduppgifter-fel/,https://www.imy.se/globalassets/dokument/beslut/2023/beslut-tillsyn-indecap.pdf
