row_index,url,saved_path,status,message
0,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---iclick-media.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/summary-decision---iclick-media.pdf,OK,OK
1,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---eu-holidays-pte-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---eu-holidays-pte-ltd.pdf,OK,OK
2,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---campvision.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/summary-decision---campvision.pdf,OK,OK
3,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---marshall-cavendish-education-pte-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---marshall-cavendish-education-pte-ltd.pdf,OK,OK
4,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---ninja-logistics-pte-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---ninja-logistics-pte-ltd.pdf,OK,OK
5,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---searchasia-consulting-pte-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---searchasia-consulting-pte-ltd.pdf,OK,OK
6,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---singapore-telecommunications-limited.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---singapore-telecommunications-limited.pdf,OK,OK
7,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---ttsh.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/summary-decision---ttsh.pdf,OK,OK
8,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---saturday-club.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/summary-decision---saturday-club.pdf,OK,OK
9,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---global-outsource.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/summary-decision---global-outsource.pdf,OK,OK
10,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---the-travel-corporation-2011-pte-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---the-travel-corporation-2011-pte-ltd.pdf,OK,OK
11,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---chizzle-pte-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---chizzle-pte-ltd.pdf,OK,OK
12,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---honestbee.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/summary-decision---honestbee.pdf,OK,OK
13,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---i-vic-international.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---i-vic-international.pdf,OK,OK
14,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---learnaholic.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/grounds-of-decision---learnaholic.pdf,OK,OK
15,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--society-of-tourist-guides-singapore-261219.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision--society-of-tourist-guides-singapore-261219.pdf,OK,OK
16,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--msig-insurance-singapore-pte-ltd--191119.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision--msig-insurance-singapore-pte-ltd--191119.pdf,OK,OK
17,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---creative-technology-ltd--020120.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---creative-technology-ltd--020120.pdf,OK,OK
18,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---loreal-singapore-pte-ltd---261219.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/summary-decision---loreal-singapore-pte-ltd---261219.pdf,OK,OK
19,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---national-healthcare-group-pte-ltd---261219.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---national-healthcare-group-pte-ltd---261219.pdf,OK,OK
20,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---peoplesearch-pte-ltd---261219.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---peoplesearch-pte-ltd---261219.pdf,OK,OK
21,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---safra---161219.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---safra---161219.pdf,OK,OK
22,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---hppa.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---hppa.pdf,OK,OK
23,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---axa-sg.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---axa-sg.pdf,OK,OK
24,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---ntuc-income-insurance-co-operative-limited--24012020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---ntuc-income-insurance-co-operative-limited--24012020.pdf,OK,OK
25,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---royal-caribbean-04022020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---royal-caribbean-04022020.pdf,OK,OK
26,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---scal-academy---080120.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---scal-academy---080120.pdf,OK,OK
27,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---singapore-telecommunications-limited-311219.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---singapore-telecommunications-limited-311219.pdf,OK,OK
28,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---sph-magazines-pte-ltd.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---sph-magazines-pte-ltd.pdf,OK,OK
29,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---mcst-3593-and-others---02032020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---mcst-3593-and-others---02032020.pdf,OK,OK
30,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/mcst-4375-and-others---decision---03022020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/mcst-4375-and-others---decision---03022020.pdf,OK,OK
31,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/ssa-group-international-pte-ltd---summary-of-decision---02032020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/ssa-group-international-pte-ltd---summary-of-decision---02032020.pdf,OK,OK
32,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---jean-yip-salon-pte-ltd--13032020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---jean-yip-salon-pte-ltd--13032020.pdf,OK,OK
33,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---actstitude-pte-ltd---20032020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---actstitude-pte-ltd---20032020.pdf,OK,OK
34,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---the-central-depository-(pte)-limited-30032020.pdf,/content/drive/MyDrive/privacy-legal-explorer/Singapore - PDPC/pdfs/decision---the-central-depository-(pte)-limited-30032020.pdf,OK,OK
