case_title,case_url,pdf_url
pdpc_case_1,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-accountability-obligation-by-iclick-media,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---iclick-media.pdf
pdpc_case_2,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-protection-and-accountability-obligations-by-eu-holidays,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---eu-holidays-pte-ltd.pdf
pdpc_case_3,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-protection-obligation-by-campvision,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---campvision.pdf
pdpc_case_4,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-protection-obligation-by-marshall-cavendish-education,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---marshall-cavendish-education-pte-ltd.pdf
pdpc_case_5,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-protection-obligation-by-ninja-logistics,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---ninja-logistics-pte-ltd.pdf
pdpc_case_6,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-protection-obligation-by-searchasia-consulting,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---searchasia-consulting-pte-ltd.pdf
pdpc_case_7,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-protection-obligation-by-singtel,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---singapore-telecommunications-limited.pdf
pdpc_case_8,https://www.pdpc.gov.sg/all-commissions-decisions/2019/11/breach-of-the-protection-obligation-by-tan-tock-seng-hospital,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---ttsh.pdf
pdpc_case_9,https://www.pdpc.gov.sg/all-commissions-decisions/2019/12/breach-of-the-accountability-obligation-by-saturday-club,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---saturday-club.pdf
pdpc_case_10,https://www.pdpc.gov.sg/all-commissions-decisions/2019/12/breach-of-the-protection-and-accountability-obligations-by-global-outsource-solutions,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---global-outsource.pdf
pdpc_case_11,https://www.pdpc.gov.sg/all-commissions-decisions/2019/12/breach-of-the-protection-and-accountability-obligations-by-the-travel-corporation-(2011),https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---the-travel-corporation-2011-pte-ltd.pdf
pdpc_case_12,https://www.pdpc.gov.sg/all-commissions-decisions/2019/12/breach-of-the-protection-obligation-by-chizzle,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---chizzle-pte-ltd.pdf
pdpc_case_13,https://www.pdpc.gov.sg/all-commissions-decisions/2019/12/breach-of-the-protection-obligation-by-honestbee,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---honestbee.pdf
pdpc_case_14,https://www.pdpc.gov.sg/all-commissions-decisions/2019/12/breach-of-the-protection-obligation-by-i-vic-international,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---i-vic-international.pdf
pdpc_case_15,https://www.pdpc.gov.sg/all-commissions-decisions/2019/12/breach-of-the-protection-obligation-by-learnaholic,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/grounds-of-decision---learnaholic.pdf
pdpc_case_16,https://www.pdpc.gov.sg/all-commissions-decisions/2020/01/breach-of-the-protection-and-accountability-obligations-by-society-of-tourist-guides,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--society-of-tourist-guides-singapore-261219.pdf
pdpc_case_17,https://www.pdpc.gov.sg/all-commissions-decisions/2020/01/breach-of-the-protection-and-retention-obligations-by-globalsignin-pte-ltd,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--msig-insurance-singapore-pte-ltd--191119.pdf
pdpc_case_18,https://www.pdpc.gov.sg/all-commissions-decisions/2020/01/breach-of-the-protection-obligation-by-creative,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---creative-technology-ltd--020120.pdf
pdpc_case_19,https://www.pdpc.gov.sg/all-commissions-decisions/2020/01/breach-of-the-protection-obligation-by-l-oreal-singapore,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/summary-decision---loreal-singapore-pte-ltd---261219.pdf
pdpc_case_20,https://www.pdpc.gov.sg/all-commissions-decisions/2020/01/breach-of-the-protection-obligation-by-national-healthcare-group,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---national-healthcare-group-pte-ltd---261219.pdf
pdpc_case_21,https://www.pdpc.gov.sg/all-commissions-decisions/2020/01/breach-of-the-protection-obligation-by-peoplesearch,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---peoplesearch-pte-ltd---261219.pdf
pdpc_case_22,https://www.pdpc.gov.sg/all-commissions-decisions/2020/01/breach-of-the-protection-obligation-by-safra-national-service-association,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---safra---161219.pdf
pdpc_case_23,https://www.pdpc.gov.sg/all-commissions-decisions/2020/02/breach-of-the-protection-and-accountability-obligations-by-henry-park-primary-school-parents-association,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---hppa.pdf
pdpc_case_24,https://www.pdpc.gov.sg/all-commissions-decisions/2020/02/breach-of-the-protection-obligation-by-axa-insurance,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---axa-sg.pdf
pdpc_case_25,https://www.pdpc.gov.sg/all-commissions-decisions/2020/02/breach-of-the-protection-obligation-by-ntuc-income,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---ntuc-income-insurance-co-operative-limited--24012020.pdf
pdpc_case_26,https://www.pdpc.gov.sg/all-commissions-decisions/2020/02/breach-of-the-protection-obligation-by-royal-caribbean-cruises-(asia),https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---royal-caribbean-04022020.pdf
pdpc_case_27,https://www.pdpc.gov.sg/all-commissions-decisions/2020/02/breach-of-the-protection-obligation-by-scal-academy,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---scal-academy---080120.pdf
pdpc_case_28,https://www.pdpc.gov.sg/all-commissions-decisions/2020/02/breach-of-the-protection-obligation-by-singtel,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---singapore-telecommunications-limited-311219.pdf
pdpc_case_29,https://www.pdpc.gov.sg/all-commissions-decisions/2020/02/breach-of-the-protection-obligation-by-sph-magazines,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---sph-magazines-pte-ltd.pdf
pdpc_case_30,https://www.pdpc.gov.sg/all-commissions-decisions/2020/03/breach-of-the-protection-and-accountability-obligations-by-mcst-3593-and-breach-of-the-protection-obligation-by-new-e-security,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---mcst-3593-and-others---02032020.pdf
pdpc_case_31,https://www.pdpc.gov.sg/all-commissions-decisions/2020/03/breach-of-the-protection-and-accountability-obligations-by-mcst-4375-and-breach-of-the-protection-obligation-by-a-best-security-management,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/mcst-4375-and-others---decision---03022020.pdf
pdpc_case_32,https://www.pdpc.gov.sg/all-commissions-decisions/2020/03/breach-of-the-protection-obligation-by-ssa-group-international,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/ssa-group-international-pte-ltd---summary-of-decision---02032020.pdf
pdpc_case_33,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by--jean-yip-salon,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---jean-yip-salon-pte-ltd--13032020.pdf
pdpc_case_34,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by-actstitude,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---actstitude-pte-ltd---20032020.pdf
pdpc_case_35,https://www.pdpc.gov.sg/all-commissions-decisions/2020/08/breach-of-the-protection-obligation-by-cdp,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---the-central-depository-(pte)-limited-30032020.pdf
