case_title,case_url,pdf_url
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/01/welsh-language-commissioner/,https://ico.org.uk/media2/migrated/4023138/welsh-language-commissioner-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/02/nhs-national-services-scotland-nhs-nss/,https://ico.org.uk/media2/ojaaev2o/sg-nhs-nss-reprimand-20220224.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/03/chief-constable-of-north-yorkshire-police/,https://ico.org.uk/media2/migrated/4023155/cc-north-yorks-police-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/04/epsom-and-st-helier-university-hospitals-nhs-trust/,https://ico.org.uk/media2/migrated/4023127/epsom-st-helier-nhs-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/04/north-yorkshire-county-council/,https://ico.org.uk/media2/action-weve-taken/reprimands/4023131/north-yorks-cc-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/05/warrington-and-halton-hospitals-nhs-foundation-trust/,https://ico.org.uk/media2/migrated/4023137/warrington-halton-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/06/allied-health-professionals/,https://ico.org.uk/media2/migrated/4023122/allied-health-p-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/06/bolton-at-home/,https://ico.org.uk/media2/migrated/4023124/bolton-at-home-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/07/department-of-health-and-social-care/,https://ico.org.uk/media2/migrated/4020887/dhsc-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/07/direct-clothing-co-uk-limited/,https://ico.org.uk/media2/e3ef5pfb/direct-clothing-company-uk-reprimand.pdf
Cookies on the ICO website,https://ico.org.uk/action-weve-taken/enforcement/2022/07/grindr-llc/,https://ico.org.uk/media2/migrated/4023128/grindr-reprimand.pdf
