row_index,url,saved_path,status,message
0,https://ico.org.uk/media2/migrated/4023138/welsh-language-commissioner-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/welsh-language-commissioner-reprimand.pdf,OK,OK
1,https://ico.org.uk/media2/ojaaev2o/sg-nhs-nss-reprimand-20220224.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/sg-nhs-nss-reprimand-20220224.pdf,OK,OK
2,https://ico.org.uk/media2/migrated/4023155/cc-north-yorks-police-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/cc-north-yorks-police-reprimand.pdf,OK,OK
3,https://ico.org.uk/media2/migrated/4023127/epsom-st-helier-nhs-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/epsom-st-helier-nhs-reprimand.pdf,OK,OK
4,https://ico.org.uk/media2/action-weve-taken/reprimands/4023131/north-yorks-cc-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/north-yorks-cc-reprimand.pdf,OK,OK
5,https://ico.org.uk/media2/migrated/4023137/warrington-halton-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/warrington-halton-reprimand.pdf,OK,OK
6,https://ico.org.uk/media2/migrated/4023122/allied-health-p-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/allied-health-p-reprimand.pdf,OK,OK
7,https://ico.org.uk/media2/migrated/4023124/bolton-at-home-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/bolton-at-home-reprimand.pdf,OK,OK
8,https://ico.org.uk/media2/migrated/4020887/dhsc-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/dhsc-reprimand.pdf,OK,OK
9,https://ico.org.uk/media2/e3ef5pfb/direct-clothing-company-uk-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/direct-clothing-company-uk-reprimand.pdf,OK,OK
10,https://ico.org.uk/media2/migrated/4023128/grindr-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/grindr-reprimand.pdf,OK,OK
11,https://ico.org.uk/media2/migrated/4025201/croydon-reprimand-letter-20220921.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/croydon-reprimand-letter-20220921.pdf,OK,OK
12,https://ico.org.uk/media2/migrated/4021724/mod-reprimand-letter.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/mod-reprimand-letter.pdf,OK,OK
13,https://ico.org.uk/media2/vbzniemo/cps-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/cps-reprimand.pdf,OK,OK
14,https://ico.org.uk/media2/migrated/4023130/jackson-quinn-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/jackson-quinn-reprimand.pdf,OK,OK
15,https://ico.org.uk/media2/migrated/4024009/ministry-of-justice-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/ministry-of-justice-reprimand.pdf,OK,OK
16,https://ico.org.uk/media2/migrated/4025200/home-office.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/home-office.pdf,OK,OK
17,https://ico.org.uk/media2/migrated/4023135/south-wales-police-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/south-wales-police-reprimand.pdf,OK,OK
18,https://ico.org.uk/media2/migrated/4021722/kent-police-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/kent-police-reprimand.pdf,OK,OK
19,https://ico.org.uk/media2/migrated/4021719/hackney-reprimand-letter.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/hackney-reprimand-letter.pdf,OK,OK
20,https://ico.org.uk/media2/migrated/4025202/lambeth-reprimand-letter.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/lambeth-reprimand-letter.pdf,OK,OK
21,https://ico.org.uk/media2/migrated/4024010/nca-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/nca-reprimand.pdf,OK,OK
22,https://ico.org.uk/media2/migrated/4021721/home-office-reprimand-letter.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/home-office-reprimand-letter.pdf,OK,OK
23,https://ico.org.uk/media2/migrated/4021725/virgin-media-limited-letter.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/virgin-media-limited-letter.pdf,OK,OK
24,https://ico.org.uk/media2/migrated/4023136/wakefield-council-reprimand.pdf,/content/drive/MyDrive/privacy-legal-explorer/UK - ICO/pdfs/wakefield-council-reprimand.pdf,OK,OK
